Start Time,End Time,Tag,Note,Tree Type,Is Success
Tue Oct 06 20:16:42 GMT+03:00 2020,Tue Oct 06 20:41:42 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 06 21:05:26 GMT+03:00 2020,Tue Oct 06 21:35:26 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 06 22:37:05 GMT+03:00 2020,Tue Oct 06 23:17:05 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 06 23:30:57 GMT+03:00 2020,Wed Oct 07 00:00:57 GMT+03:00 2020,Study,,Cedar,TRUE
Wed Oct 07 00:22:30 GMT+03:00 2020,Wed Oct 07 00:42:30 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Oct 07 02:06:19 GMT+03:00 2020,Wed Oct 07 02:26:19 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Oct 07 02:49:00 GMT+03:00 2020,Wed Oct 07 03:14:00 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Oct 07 14:00:34 GMT+03:00 2020,Wed Oct 07 14:30:34 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Oct 07 17:29:10 GMT+03:00 2020,Wed Oct 07 18:14:10 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Oct 07 18:17:45 GMT+03:00 2020,Wed Oct 07 18:42:45 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Oct 07 20:26:57 GMT+03:00 2020,Wed Oct 07 20:56:57 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Oct 07 22:13:47 GMT+03:00 2020,Wed Oct 07 22:53:47 GMT+03:00 2020,Study,,Star Coral,TRUE
Wed Oct 07 23:03:20 GMT+03:00 2020,Wed Oct 07 23:33:20 GMT+03:00 2020,Study,,Star Coral,TRUE
Thu Oct 08 01:31:52 GMT+03:00 2020,Thu Oct 08 02:01:52 GMT+03:00 2020,Study,,Star Coral,TRUE
Thu Oct 08 02:18:39 GMT+03:00 2020,Thu Oct 08 02:48:39 GMT+03:00 2020,Study,,Star Coral,TRUE
Thu Oct 08 19:00:56 GMT+03:00 2020,Thu Oct 08 19:25:56 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 09 00:42:02 GMT+03:00 2020,Fri Oct 09 01:12:02 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 09 01:52:33 GMT+03:00 2020,Fri Oct 09 02:22:33 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 09 14:41:36 GMT+03:00 2020,Fri Oct 09 15:11:36 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 09 17:19:44 GMT+03:00 2020,Fri Oct 09 17:49:44 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 09 17:54:34 GMT+03:00 2020,Fri Oct 09 18:14:34 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 09 19:20:49 GMT+03:00 2020,Fri Oct 09 19:55:49 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 09 20:16:54 GMT+03:00 2020,Fri Oct 09 20:51:54 GMT+03:00 2020,Study,,Star Coral,TRUE
Fri Oct 09 21:21:10 GMT+03:00 2020,Fri Oct 09 21:51:10 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Oct 10 00:53:09 GMT+03:00 2020,Sat Oct 10 01:23:09 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Oct 10 01:36:31 GMT+03:00 2020,Sat Oct 10 02:06:31 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Oct 10 02:29:05 GMT+03:00 2020,Sat Oct 10 02:59:05 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Oct 10 16:21:15 GMT+03:00 2020,Sat Oct 10 17:01:15 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Oct 10 19:33:34 GMT+03:00 2020,Sat Oct 10 19:58:34 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Oct 10 20:16:45 GMT+03:00 2020,Sat Oct 10 20:46:45 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Oct 10 21:18:25 GMT+03:00 2020,Sat Oct 10 21:58:25 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Oct 10 22:19:35 GMT+03:00 2020,Sat Oct 10 22:49:35 GMT+03:00 2020,Study,,Star Coral,TRUE
Sat Oct 10 23:21:48 GMT+03:00 2020,Sat Oct 10 23:51:48 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Oct 11 00:43:59 GMT+03:00 2020,Sun Oct 11 01:13:59 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Oct 11 03:31:23 GMT+03:00 2020,Sun Oct 11 04:01:23 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Oct 11 04:25:28 GMT+03:00 2020,Sun Oct 11 04:55:28 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Oct 11 16:54:37 GMT+03:00 2020,Sun Oct 11 17:24:37 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Oct 11 18:52:59 GMT+03:00 2020,Sun Oct 11 19:22:59 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Oct 11 20:24:43 GMT+03:00 2020,Sun Oct 11 21:04:43 GMT+03:00 2020,Study,,Star Coral,TRUE
Sun Oct 11 21:17:43 GMT+03:00 2020,Sun Oct 11 21:42:43 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Oct 12 00:11:50 GMT+03:00 2020,Mon Oct 12 00:36:50 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Oct 12 00:59:06 GMT+03:00 2020,Mon Oct 12 01:29:06 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Oct 12 02:05:22 GMT+03:00 2020,Mon Oct 12 02:35:22 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Oct 12 04:11:17 GMT+03:00 2020,Mon Oct 12 04:31:17 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Oct 12 05:06:10 GMT+03:00 2020,Mon Oct 12 05:26:10 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Oct 12 05:58:51 GMT+03:00 2020,Mon Oct 12 06:18:51 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Oct 12 19:06:34 GMT+03:00 2020,Mon Oct 12 19:46:34 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Oct 12 21:25:36 GMT+03:00 2020,Mon Oct 12 22:05:36 GMT+03:00 2020,Study,,Star Coral,TRUE
Mon Oct 12 22:08:40 GMT+03:00 2020,Mon Oct 12 22:23:40 GMT+03:00 2020,Study,,Star Coral,TRUE
Tue Oct 13 01:20:35 GMT+03:00 2020,Tue Oct 13 01:50:35 GMT+03:00 2020,Study,,Star Coral,TRUE
Tue Oct 13 02:02:45 GMT+03:00 2020,Tue Oct 13 02:32:45 GMT+03:00 2020,Study,,Star Coral,TRUE
Tue Oct 13 03:05:47 GMT+03:00 2020,Tue Oct 13 03:35:47 GMT+03:00 2020,Study,,Star Coral,TRUE
Tue Oct 13 04:04:08 GMT+03:00 2020,Tue Oct 13 04:34:08 GMT+03:00 2020,Study,,Star Coral,TRUE
Tue Oct 13 05:01:10 GMT+03:00 2020,Tue Oct 13 05:31:10 GMT+03:00 2020,Study,,Star Coral,TRUE
Tue Oct 13 16:07:37 GMT+03:00 2020,Tue Oct 13 16:37:37 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 13 17:37:02 GMT+03:00 2020,Tue Oct 13 18:07:02 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 13 18:07:31 GMT+03:00 2020,Tue Oct 13 18:37:31 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 13 19:05:49 GMT+03:00 2020,Tue Oct 13 19:35:49 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 13 20:24:13 GMT+03:00 2020,Tue Oct 13 20:54:13 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 13 22:02:08 GMT+03:00 2020,Tue Oct 13 22:32:08 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 13 22:36:08 GMT+03:00 2020,Tue Oct 13 23:06:08 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 13 23:23:54 GMT+03:00 2020,Tue Oct 13 23:53:54 GMT+03:00 2020,Study,,Octopus,TRUE
Tue Oct 13 23:54:06 GMT+03:00 2020,Wed Oct 14 00:14:06 GMT+03:00 2020,Study,,Octopus,TRUE
Wed Oct 14 00:15:01 GMT+03:00 2020,Wed Oct 14 00:35:01 GMT+03:00 2020,Study,,Octopus,TRUE
Wed Oct 14 02:10:27 GMT+03:00 2020,Wed Oct 14 02:25:27 GMT+03:00 2020,Study,,Octopus,TRUE
Wed Oct 14 15:04:25 GMT+03:00 2020,Wed Oct 14 15:19:25 GMT+03:00 2020,Study,,Octopus,TRUE
Thu Oct 15 03:27:20 GMT+03:00 2020,Thu Oct 15 03:57:20 GMT+03:00 2020,Study,,Octopus,TRUE
Thu Oct 15 04:00:03 GMT+03:00 2020,Thu Oct 15 04:25:03 GMT+03:00 2020,Study,,Octopus,TRUE
Thu Oct 15 17:25:17 GMT+03:00 2020,Thu Oct 15 17:55:17 GMT+03:00 2020,Study,,Octopus,TRUE
Thu Oct 15 18:18:33 GMT+03:00 2020,Thu Oct 15 18:48:33 GMT+03:00 2020,Study,,Mushroom,TRUE
Thu Oct 15 19:06:12 GMT+03:00 2020,Thu Oct 15 19:36:12 GMT+03:00 2020,Study,,Pumpkin,TRUE
Thu Oct 15 20:08:26 GMT+03:00 2020,Thu Oct 15 20:33:26 GMT+03:00 2020,Study,,Pumpkin,TRUE
Thu Oct 15 21:31:49 GMT+03:00 2020,Thu Oct 15 21:46:49 GMT+03:00 2020,Study,,Mushroom,TRUE
Thu Oct 15 22:08:40 GMT+03:00 2020,Thu Oct 15 22:38:40 GMT+03:00 2020,Study,,Mushroom,TRUE
Thu Oct 15 23:21:35 GMT+03:00 2020,Thu Oct 15 23:46:35 GMT+03:00 2020,Study,,Mushroom,TRUE
Fri Oct 16 00:08:51 GMT+03:00 2020,Fri Oct 16 00:33:51 GMT+03:00 2020,Study,,Cedar,TRUE
Fri Oct 16 02:06:46 GMT+03:00 2020,Fri Oct 16 02:31:46 GMT+03:00 2020,Study,,Cedar,TRUE
Fri Oct 16 03:08:21 GMT+03:00 2020,Fri Oct 16 03:33:21 GMT+03:00 2020,Study,,Cedar,TRUE
Fri Oct 16 04:20:50 GMT+03:00 2020,Fri Oct 16 04:40:50 GMT+03:00 2020,Study,,Cedar,TRUE
Sat Oct 17 15:49:16 GMT+03:00 2020,Sat Oct 17 16:19:16 GMT+03:00 2020,Study,,Cedar,TRUE
Sat Oct 17 16:34:54 GMT+03:00 2020,Sat Oct 17 17:04:54 GMT+03:00 2020,Study,,Cedar,TRUE
Sat Oct 17 23:31:37 GMT+03:00 2020,Sun Oct 18 00:01:37 GMT+03:00 2020,Study,,Cedar,TRUE
Sun Oct 18 00:35:18 GMT+03:00 2020,Sun Oct 18 01:05:18 GMT+03:00 2020,Study,,Bush,TRUE
Sun Oct 18 01:39:14 GMT+03:00 2020,Sun Oct 18 02:09:14 GMT+03:00 2020,Study,,Bush,TRUE
Sun Oct 18 03:25:42 GMT+03:00 2020,Sun Oct 18 04:05:42 GMT+03:00 2020,Study,,Bush,TRUE
